a	indefinite article
about	adverb
about	preposition
above	adverb
above	preposition
across	adverb
across	preposition
action	noun
activity	noun
actor	noun
actress	noun
add	verb
address	noun
adult	noun
advice	noun
afraid	adjective
after	preposition
afternoon	noun
again	adverb
age	noun
ago	adverb
agree	verb
air	noun
airport	noun
all	determiner
all	pronoun
also	adverb
always	adverb
amazing	adjective
and	conjunction
angry	adjective
animal	noun
another	determiner
another	pronoun
answer	noun
answer	verb
any	determiner
any	pronoun
anyone	pronoun
anything	pronoun
apartment	noun
apple	noun
april	noun
area	noun
arm	noun
around	adverb
around	preposition
arrive	verb
art	noun
article	noun
artist	noun
as	preposition
ask	verb
at	preposition
august	noun
aunt	noun
autumn	noun
away	adverb
baby	noun
back	adverb
back	noun
bad	adjective
bag	noun
ball	noun
banana	noun
band	noun
bank	noun
bath	noun
bathroom	noun
be	verb
be	auxiliary verb
beach	noun
beautiful	adjective
because	conjunction
become	verb
bed	noun
bedroom	noun
beer	noun
before	preposition
begin	verb
beginning	noun
behind	adverb
behind	preposition
believe	verb
below	adverb
below	preposition
best	adjective
better	adjective
between	preposition
bicycle	noun
big	adjective
bike	noun
bill	noun
bird	noun
birthday	noun
black	adjective
black	noun
blog	noun
blonde	adjective
blue	adjective
blue	noun
boat	noun
body	noun
book	noun
boot	noun
bored	adjective
boring	adjective
born	verb
both	determiner
both	pronoun
bottle	noun
box	noun
boy	noun
boyfriend	noun
bread	noun
break	noun
break	verb
breakfast	noun
bring	verb
brother	noun
brown	adjective
brown	noun
build	verb
building	noun
bus	noun
business	noun
busy	adjective
but	conjunction
butter	noun
buy	verb
by	preposition
bye	exclamation
cafe	noun
cake	noun
call	noun
call	verb
camera	noun
can	modal verb
cannot	modal verb
capital	adjective
capital	noun
car	noun
card	noun
career	noun
carrot	noun
carry	verb
cat	noun
cd	noun
cent	noun
centre	noun
century	noun
chair	noun
change	noun
change	verb
chart	noun
cheap	adjective
check	verb
cheese	noun
chicken	noun
child	noun
chocolate	noun
choose	verb
cinema	noun
city	noun
class	noun
classroom	noun
clean	adjective
clean	verb
climb	verb
clock	noun
close	verb
clothes	noun
club	noun
coat	noun
coffee	noun
cold	adjective
cold	noun
college	noun
colour	noun
come	verb
common	adjective
company	noun
compare	verb
complete	adjective
complete	verb
computer	noun
concert	noun
conversation	noun
cook	verb
cooking	noun
cool	adjective
correct	adjective
correct	verb
cost	noun
cost	verb
could	modal verb
country	noun
course	noun
cousin	noun
cow	noun
cream	noun
create	verb
culture	noun
cup	noun
customer	noun
cut	verb
dad	noun
dance	noun
dance	verb
dancer	noun
dancing	noun
dangerous	adjective
dark	adjective
date	noun
daughter	noun
day	noun
dear	adjective
december	noun
decide	verb
delicious	adjective
describe	verb
description	noun
design	noun
design	verb
desk	noun
detail	noun
dialogue	noun
dictionary	noun
die	verb
diet	noun
difference	noun
different	adjective
difficult	adjective
dinner	noun
dirty	adjective
discuss	verb
dish	noun
do	verb
do	auxiliary verb
doctor	noun
dog	noun
dollar	noun
door	noun
down	adverb
down	preposition
downstairs	adverb
draw	verb
dress	noun
dress	verb
drink	noun
drink	verb
drive	verb
driver	noun
during	preposition
dvd	noun
