currency_code,currency_name,buy_cash,buy_transfer,sell,rate_date,fetched_at
"USD","US DOLLAR","26,088.00","26,118.00","26,368.00","07/05/2026","2026-05-07T09:31:30.898Z"
"EUR","EURO","30,153.88","30,458.46","31,743.58","07/05/2026","2026-05-07T09:31:30.898Z"
"GBP","UK POUND STERLING","34,881.29","35,233.62","36,361.97","07/05/2026","2026-05-07T09:31:30.898Z"
"JPY","JAPANESE YEN","162.67","164.31","173.00","07/05/2026","2026-05-07T09:31:30.898Z"
"AUD","AUSTRALIAN DOLLAR","18,581.48","18,769.17","19,370.24","07/05/2026","2026-05-07T09:31:30.898Z"
"SGD","SINGAPORE DOLLAR","20,228.38","20,432.71","21,129.29","07/05/2026","2026-05-07T09:31:30.898Z"
"THB","THAI BAHT","719.96","799.95","833.87","07/05/2026","2026-05-07T09:31:30.898Z"
"CAD","CANADIAN DOLLAR","18,816.01","19,006.07","19,614.74","07/05/2026","2026-05-07T09:31:30.898Z"
"CHF","SWISS FRANC","32,963.70","33,296.67","34,362.98","07/05/2026","2026-05-07T09:31:30.898Z"
"HKD","HONG KONG DOLLAR","3,264.00","3,296.97","3,423.03","07/05/2026","2026-05-07T09:31:30.898Z"
"CNY","CHINESE YUAN","3,768.84","3,806.91","3,928.83","07/05/2026","2026-05-07T09:31:30.898Z"
"DKK","DANISH KRONE","-","4,065.22","4,220.67","07/05/2026","2026-05-07T09:31:30.898Z"
"INR","INDIAN RUPEE","-","276.50","288.39","07/05/2026","2026-05-07T09:31:30.898Z"
"KRW","KOREAN WON","15.71","17.46","18.94","07/05/2026","2026-05-07T09:31:30.898Z"
"KWD","KUWAITI DINAR","-","84,575.51","88,674.70","07/05/2026","2026-05-07T09:31:30.898Z"
"MYR","MALAYSIAN RINGGIT","-","6,662.32","6,807.26","07/05/2026","2026-05-07T09:31:30.898Z"
"NOK","NORWEGIAN KRONE","-","2,773.00","2,890.58","07/05/2026","2026-05-07T09:31:30.898Z"
"RUB","RUSSIAN RUBLE","-","334.98","370.80","07/05/2026","2026-05-07T09:31:30.898Z"
"SAR","SAUDI ARABIAN RIYAL","-","6,973.37","7,273.47","07/05/2026","2026-05-07T09:31:30.898Z"
"SEK","SWEDISH KRONA","-","2,793.26","2,911.69","07/05/2026","2026-05-07T09:31:30.898Z"
